                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.338,                   2.34,                 1.6354,                0.30842,                0.31111,                0.26075,                0.11355,                 2.1396,                  1.756,                  1.558,             0.00036951,             0.00036951,             0.00036951
                      2,                  2.106,                 1.6201,                 1.4895,                0.35424,                0.29588,                0.29117,                0.12212,                 2.0783,                 1.6034,                 1.5817,             0.00071055,             0.00071055,             0.00071055
                      3,                 2.0522,                 1.5245,                 1.4742,                 0.3767,                0.34513,                 0.3247,                0.13904,                 2.0764,                 1.5052,                 1.5562,              0.0010223,              0.0010223,              0.0010223
                      4,                 2.0287,                  1.449,                 1.4599,                0.62498,                0.35033,                0.39157,                 0.1798,                 2.0061,                  1.405,                 1.5216,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.9883,                 1.3901,                 1.4395,                0.53274,                0.40882,                0.42931,                0.19937,                 1.9575,                 1.3364,                 1.4817,             0.00093502,             0.00093502,             0.00093502
                      6,                 1.9633,                 1.3447,                 1.4273,                0.55718,                0.40914,                0.43917,                 0.2063,                  1.934,                 1.3134,                   1.47,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.9478,                 1.3104,                 1.4143,                0.52688,                0.42449,                0.43564,                0.20038,                 1.9389,                 1.3511,                 1.4609,             0.00084703,             0.00084703,             0.00084703
                      8,                 1.9279,                  1.275,                 1.4034,                0.57335,                0.48008,                0.50249,                 0.2358,                 1.9018,                  1.229,                 1.4517,             0.00080303,             0.00080303,             0.00080303
                      9,                 1.9083,                 1.2512,                 1.3896,                0.58944,                0.46654,                0.50747,                 0.2415,                 1.8923,                 1.2041,                 1.4331,             0.00075904,             0.00075904,             0.00075904
                     10,                 1.8954,                 1.2312,                 1.3881,                0.57369,                0.49034,                0.52104,                0.25663,                 1.8784,                  1.197,                 1.4357,             0.00071504,             0.00071504,             0.00071504
                     11,                 1.8823,                 1.2095,                 1.3824,                0.61689,                0.49517,                0.53412,                 0.2612,                 1.8785,                 1.1965,                 1.4344,             0.00067104,             0.00067104,             0.00067104
                     12,                 1.8679,                 1.1918,                 1.3728,                0.64435,                0.49843,                0.56908,                0.28367,                 1.8459,                 1.1565,                  1.413,             0.00062705,             0.00062705,             0.00062705
                     13,                 1.8622,                 1.1787,                 1.3691,                0.66374,                0.51086,                0.57608,                0.28801,                 1.8457,                 1.1353,                 1.4156,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.8498,                 1.1596,                 1.3595,                0.67394,                0.52708,                0.58798,                0.29619,                 1.8377,                 1.1097,                 1.4058,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.8396,                 1.1364,                 1.3535,                0.67755,                0.53328,                  0.603,                 0.3089,                 1.8276,                 1.1055,                 1.4011,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.8409,                  1.112,                  1.373,                0.66651,                0.54711,                0.60307,                0.30337,                 1.8225,                 1.1023,                 1.3932,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.8295,                 1.0884,                 1.3704,                0.70757,                 0.5377,                0.61901,                0.31614,                 1.8032,                 1.0887,                 1.3873,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.8164,                 1.0777,                 1.3604,                0.68429,                 0.5605,                0.62159,                0.31832,                 1.8086,                 1.0838,                  1.392,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.8026,                 1.0582,                 1.3535,                0.67107,                0.57803,                0.63879,                0.32596,                 1.8019,                 1.0681,                   1.39,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.7887,                 1.0395,                 1.3451,                0.69284,                0.57969,                0.64431,                0.33285,                 1.7865,                 1.0462,                 1.3725,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.7794,                 1.0323,                 1.3419,                0.69768,                0.57571,                0.64726,                 0.3345,                 1.7876,                 1.0476,                 1.3781,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.7712,                 1.0174,                 1.3385,                0.74913,                0.57675,                 0.6627,                0.34479,                 1.7855,                 1.0227,                 1.3732,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.7584,                 1.0063,                   1.33,                0.73802,                0.57948,                0.66651,                0.35062,                 1.7844,                  1.014,                 1.3701,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.7482,                0.98893,                 1.3225,                0.73388,                0.59458,                0.67649,                0.35554,                  1.775,                 1.0042,                 1.3671,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                   1.74,                0.98291,                 1.3176,                 0.7505,                0.59238,                0.67508,                0.35615,                 1.7708,                 1.0016,                 1.3671,             5.5106e-05,             5.5106e-05,             5.5106e-05
